,isbn,title,author,avg_rating,count_rating,count_reviews,date_published,top_genre,genre1,genre2,genre3
5041,9781250130938,The Wife Between Us,Greer Hendricks,3.85,349943.0,29875.0,2018-01-02,"Thriller, Fiction, Mystery, Mystery Thriller, Audiobook, Suspense, Adult",Thriller,Fiction,Mystery
5042,9780735211223,Into the Water,Paula Hawkins,3.59,366632.0,28159.0,2017-05-02,"Mystery, Fiction, Thriller, Mystery Thriller, Audiobook, Suspense, Crime",Mystery,Fiction,Thriller
5043,9780385490818,The Handmaid's Tale,Margaret Atwood,4.13,1902847.0,89927.0,1985-01-01,"Fiction, Classics, Dystopia, Science Fiction, Feminism, Fantasy, Adult",Fiction,Classics,Dystopia
5044,9780525483441,The Crooked Staircase,Dean Koontz,4.11,12204.0,1376.0,2018-05-08,"Thriller, Fiction, Mystery, Suspense, Horror, Mystery Thriller, Science Fiction",Thriller,Fiction,Mystery
5045,9780399585333,The Other Lady Vanishes,Amanda Quick,3.93,6478.0,730.0,2018-05-08,"Romance, Mystery, Historical, Historical Fiction, Historical Romance, Fiction, Romantic Suspense",Romance,Mystery,Historical
5046,9780525521198,Warlight,Michael Ondaatje,3.6,43195.0,5352.0,2018-05-08,"Historical Fiction, Fiction, Historical, War, Literary Fiction, World War II, Canada",Historical Fiction,Fiction,Historical
5047,9781524797157,Camino Island: A Novel,John Grisham,3.79,123632.0,10227.0,2017-06-06,"Fiction, Mystery, Thriller, Audiobook, Crime, Mystery Thriller, Suspense",Fiction,Mystery,Thriller
5048,9780399586095,Someone to Care,Mary Balogh,3.94,5762.0,709.0,2018-05-01,"Romance, Historical Romance, Historical, Historical Fiction, Regency, Fiction, Regency Romance",Romance,Historical Romance,Historical
5049,9781101991435,Dark Queen,Faith Hunter,4.55,6703.0,670.0,2018-05-01,"Urban Fantasy, Fantasy, Vampires, Paranormal, Magic, Shapeshifters, Witches",Urban Fantasy,Fantasy,Vampires
5050,9780062696816,The Perfect Mother,Aimee Molloy,3.54,56937.0,5611.0,2018-05-01,"Thriller, Mystery, Fiction, Mystery Thriller, Audiobook, Suspense, Adult",Thriller,Mystery,Fiction
5051,9780698413078,,,,,,,,,,
5052,9780307887443,Ready Player One,Ernest Cline,4.23,1093882.0,98883.0,2011-08-16,"Science Fiction, Fiction, Young Adult, Fantasy, Dystopia, Audiobook, Adventure",Science Fiction,Fiction,Young Adult
5053,9780440339342,Worth Dying For,Lee Child,4.22,89613.0,3888.0,2010-09-30,"Thriller, Fiction, Mystery, Crime, Action, Suspense, Mystery Thriller",Thriller,Fiction,Mystery
5054,9781420136135,One Last Breath,Lisa Jackson,4.05,3535.0,268.0,2018-04-24,"Fiction, Suspense, Mystery, Thriller, Romantic Suspense, Romance, Mystery Thriller",Fiction,Suspense,Mystery
5055,9781466887244,Shattered Mirror,Iris Johansen,4.13,3969.0,416.0,2018-04-24,"Thriller, Mystery, Fiction, Suspense, Mystery Thriller, Adult Fiction, Crime",Thriller,Mystery,Fiction
